,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
18,483,40,5700.0,1710.0,2280.0,570.0,1140.0,8,9.6,12.8,3.2,6.4,18.224603696099997,0.720024678446,10.6226200727,18.2927489734,0.26169884082199996,6.2633800939199995,12.940178449600001
19,99,40,6840.0,4104.0,1368.0,684.0,684.0,8,19.2,6.4,3.2,3.2,18.2458712477,0.684020702692,10.180238352,21.4335146079,0.30663111027,8.7297217234,13.974101266099998
20,473,40,5700.0,1425.0,1425.0,1425.0,1425.0,8,8.0,8.0,8.0,8.0,18.5535961935,0.7450912192929999,10.8166097733,18.5180101027,0.264921460697,5.89030954737,14.9040183828
21,105,40,6840.0,4788.0,684.0,684.0,684.0,8,22.4,3.2,3.2,3.2,18.8022911303,0.668873045466,10.2799587525,21.1723405648,0.302894714805,11.986150786,15.42823566
22,521,60,5700.0,1140.0,1140.0,1710.0,1710.0,8,10.4,10.4,15.6,15.6,19.3526454678,0.610114423869,12.5654621969,18.0921399705,0.258828898004,10.3283263092,17.1249815336
23,107,40,6840.0,3420.0,1368.0,684.0,1368.0,8,16.0,6.4,3.2,6.4,19.686218364000002,0.751246694136,11.05840405,22.5949068613,0.323246163967,7.9520259599,16.4537441204
24,116,50,6840.0,2052.0,2052.0,1368.0,1368.0,8,10.5,10.5,10.5,10.5,20.9761375952,0.72863170955,12.585059268,23.1495116094,0.331180423596,8.66354440231,19.3198349977
25,95,40,6840.0,2736.0,2736.0,684.0,684.0,8,12.8,12.8,3.2,3.2,21.614581309600002,0.804222069333,12.2695155285,23.188029648,0.331731468498,10.0122606284,17.3241115151
26,103,40,6840.0,2052.0,2736.0,684.0,1368.0,8,9.6,12.8,3.2,6.4,21.737744155700003,0.81601284338,12.2793405071,23.65442715,0.33840382188900003,8.667357004089999,19.5362811537
27,149,60,6840.0,2736.0,1368.0,1368.0,1368.0,8,20.8,10.4,10.4,10.4,22.7057863713,0.7260583508130001,14.1514863003,23.621003944499996,0.337925664442,10.3678896246,21.5047261134
28,1201,70,7980.0,798.0,5586.0,798.0,798.0,8,6.2,43.4,6.2,6.2,22.825675148800002,0.6332150625890001,14.1744579648,24.835861990100003,0.35530560787,16.7509334289,22.748132237800004
