,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
252,418,50,2520.0,252.0,252.0,252.0,1764.0,4,11.5,11.5,11.5,11.5,30.8348633152,1.2463567066399999,19.7826227274,6.827358685730001,0.09767322869419999,28.6819554221,16.0494806465
253,989,60,3240.0,324.0,324.0,324.0,2268.0,8,13.0,13.0,13.0,13.0,30.879636477800002,1.0654571578799998,20.872119887100002,7.57075669963,0.10830839341399999,23.883831996799998,17.7731363752
254,158,60,2880.0,288.0,288.0,288.0,2016.0,4,14.0,14.0,14.0,14.0,30.898458017600003,1.14104239478,20.3583400741,6.7915734896,0.09716128025180001,28.609190434000002,16.5691647469
255,972,55,3240.0,324.0,1296.0,324.0,1296.0,8,4.7,18.8,4.7,18.8,30.920625851999997,1.23306060787,18.8972619832,11.364578395,0.162583381903,14.774219269300001,24.240318411599997
256,922,50,2520.0,252.0,252.0,252.0,1764.0,12,9.5,9.5,9.5,9.5,30.991056870100003,1.2686669936700001,19.6767806032,6.360760815369999,0.0909980088036,26.405210181599998,15.855036296
257,219,65,2520.0,252.0,1008.0,252.0,1008.0,20,4.5,18.0,4.5,18.0,31.029739667199998,1.08464882111,20.5230996399,9.10874904412,0.130311145123,18.3318866468,20.7566732474
258,1771,50,1440.0,144.0,144.0,144.0,1008.0,4,11.5,11.5,11.5,11.5,31.0810313025,1.20140818301,19.7843950395,5.622097548659999,0.0804305800952,27.7087301348,14.0480063503
259,466,50,3420.0,342.0,342.0,342.0,2394.0,20,7.5,7.5,7.5,7.5,31.1025406939,1.1318706591,20.5240257851,7.209905635039999,0.10314600336200001,23.5868327107,17.7471000768
260,779,50,2340.0,234.0,234.0,234.0,1638.0,8,10.5,10.5,10.5,10.5,31.218001465700002,1.22610881543,19.88891837,6.44372743493,0.0921849418445,26.188151098899997,16.0652628906
261,52,55,2880.0,288.0,1152.0,288.0,1152.0,16,3.9,15.6,3.9,15.6,31.2358395437,1.24761226019,18.6854988848,9.96681906277,0.142586824932,16.2006404973,23.1568842258
262,1420,50,1980.0,198.0,198.0,792.0,792.0,8,10.5,10.5,10.5,10.5,31.236457201100002,1.3598965569900001,19.1402322547,6.726916639090001,0.0962362895435,19.5956592265,15.3805651068
263,2736,55,3420.0,342.0,1368.0,342.0,1368.0,8,4.7,18.8,4.7,18.8,31.279288877,1.2400756903,18.4981733438,11.424524352,0.163440977854,15.583401719100001,25.5363126389
264,655,60,2880.0,720.0,720.0,720.0,720.0,12,12.0,12.0,12.0,12.0,31.3015632262,1.23731115209,19.6265329745,10.2668882995,0.146879660937,12.6801208252,22.4050020184
