cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
170,3800.0,380.0,1140.0,2280.0,8,53.46,53.46,53.46,96.2314187152,1.66776911535,75.782856094,25.0554602876,0.358447214415,88.614708639,73.8540466189
170,3800.0,380.0,1140.0,2280.0,8,16.2,48.6,97.2,51.0009632049,1.24935234284,33.537644944,19.8728488411,0.284303989143,46.3240813463,50.7742577428
170,3800.0,2280.0,1140.0,380.0,8,53.46,53.46,53.46,32.5699447189,0.605146161909,24.9513611032,16.2080269827,0.231874491885,33.8226949007,34.8999348875
170,3800.0,2280.0,1140.0,380.0,8,97.2,48.6,16.2,22.2265785038,0.427861411919,17.2533805047,12.1334785422,0.173583384009,30.591179735,24.7226179295
170,3800.0,1900.0,1520.0,380.0,8,53.46,53.46,53.46,27.4932979867,0.491779731839,21.9302698965,14.1460765,0.202375915594,29.7033277255,30.017799744
170,3800.0,1900.0,1520.0,380.0,8,81.0,64.8,16.2,24.070120965,0.444727267142,19.2841711243,12.9159126439,0.18477700492,28.9302251042,26.8666362332
170,3800.0,1330.0,1330.0,1140.0,8,53.46,53.46,53.46,42.3254411927,0.868748981528,32.5874105022,17.9983431409,0.257487026336,46.0821588234,44.0538058172
170,3800.0,1330.0,1330.0,1140.0,8,56.7,56.7,48.6,46.1204847966,0.882451771464,35.5214672153,18.0285180548,0.25791871323,46.7163261525,45.3719547975
170,3800.0,3040.0,380.0,380.0,8,53.46,53.46,53.46,67.5944737744,1.13770608616,52.4802775537,25.6835345222,0.36743253966,68.5564559075,56.299278403
170,3800.0,3040.0,380.0,380.0,8,129.6,16.2,16.2,16.8030694211,0.325153376941,12.6207213133,8.95167281655,0.128063988792,27.3545682141,14.4947785213
170,3800.0,760.0,1520.0,1520.0,8,53.46,53.46,53.46,68.6208783862,1.36913823395,53.3336105738,20.750570858,0.29686081342,74.273084411,55.3680531014
170,3800.0,760.0,1520.0,1520.0,8,32.4,64.8,64.8,38.0062294151,0.824297738931,28.4046788064,16.0330444956,0.229371165888,37.429884741,38.0506811014
170,3800.0,1520.0,1520.0,760.0,8,53.46,53.46,53.46,29.7462461802,0.608499783821,22.9815692888,14.2196331866,0.203428228706,31.0273545244,31.325289369
170,3800.0,1520.0,1520.0,760.0,8,64.8,64.8,32.4,36.9465014497,0.693173640292,28.9630448774,15.3390126915,0.219442241653,41.430278052,36.2041173363
170,3800.0,1140.0,2280.0,380.0,8,53.46,53.46,53.46,25.8651917204,0.412157545661,21.4785571393,13.308206868,0.190389225579,31.1290785386,29.9787827841
170,3800.0,1140.0,2280.0,380.0,8,48.6,97.2,16.2,21.3341031295,0.382227370705,17.4181827065,12.0432689042,0.172292831247,31.4643037763,24.0027118346
180,3800.0,380.0,1140.0,2280.0,8,56.76,56.76,56.76,89.7520496426,1.53114907106,69.9032405325,26.1928122875,0.374718344599,92.5945552831,68.5440492579
180,3800.0,380.0,1140.0,2280.0,8,17.2,51.6,103.2,59.8540868143,1.36124081104,41.2822527811,20.7197724309,0.29642020645,53.2616835005,55.6013725703
180,3800.0,2280.0,1140.0,380.0,8,56.76,56.76,56.76,35.704016858,0.647845042596,27.6326214747,17.0689083985,0.244190391967,39.5455008868,37.4085903976
180,3800.0,2280.0,1140.0,380.0,8,103.2,51.6,17.2,21.2029741734,0.394237050729,16.6771251557,12.0022937842,0.171706634967,29.4496627244,24.3114157143
