cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
90,7600.0,760.0,2280.0,4560.0,8,27.06,27.06,27.06,105.634998849,2.34426953648,78.3082957467,33.871015827,0.484563888798,100.396469215,78.8965051842
90,7600.0,760.0,2280.0,4560.0,8,8.2,24.6,49.2,80.7905844256,2.23642653831,53.1976779063,32.4021915792,0.463550666369,61.7734599475,82.9432972833
90,7600.0,4560.0,2280.0,760.0,8,27.06,27.06,27.06,64.8249248016,1.57101906433,44.8387578534,35.012731264,0.500897442976,48.6606407377,75.5751395698
90,7600.0,4560.0,2280.0,760.0,8,49.2,24.6,8.2,52.9803350571,1.43273283751,33.8593514503,31.6207067149,0.452370625391,36.8544080906,70.5227022634
90,7600.0,3800.0,3040.0,760.0,8,27.06,27.06,27.06,72.5348285623,1.66835428973,52.0290100633,38.9844865278,0.557717976078,41.3303095322,91.2325502001
90,7600.0,3800.0,3040.0,760.0,8,41.0,32.8,8.2,56.4046860893,1.4581706266,37.871844538,33.065890989,0.473045650773,39.5432706747,75.6768699089
90,7600.0,2660.0,2660.0,2280.0,8,27.06,27.06,27.06,73.7746807653,1.87185380922,50.8919181295,35.9871323589,0.514837372803,41.8876282075,86.9988052625
90,7600.0,2660.0,2660.0,2280.0,8,28.7,28.7,24.6,74.5181220061,1.92330828197,51.6963773168,33.541911334,0.479855670015,55.5676072068,79.4621958444
90,7600.0,6080.0,760.0,760.0,8,27.06,27.06,27.06,64.0597614867,1.50535705342,44.4372202467,29.7601954317,0.425753868838,56.7279813901,67.6773996255
90,7600.0,6080.0,760.0,760.0,8,65.6,8.2,8.2,43.1002606779,1.28960386856,23.1642707298,26.6166099645,0.380781258433,36.5135831345,55.4218811111
90,7600.0,1520.0,3040.0,3040.0,8,27.06,27.06,27.06,90.513739477,2.08662280321,64.9551514498,36.4765383494,0.521838889118,61.3627518987,92.4440412211
90,7600.0,1520.0,3040.0,3040.0,8,16.4,32.8,32.8,79.8004651887,1.90744382494,56.3009804801,33.5210310893,0.479556954067,61.0609604229,85.4928218219
90,7600.0,3040.0,3040.0,1520.0,8,27.06,27.06,27.06,72.8037881559,1.84415949754,50.1186344203,36.732179827,0.525496134864,37.8765425311,90.637442363
90,7600.0,3040.0,3040.0,1520.0,8,32.8,32.8,16.4,70.2089859141,1.74254326605,49.3099147712,34.9859965807,0.500514972542,49.4832938571,82.928963967
90,7600.0,2280.0,4560.0,760.0,8,27.06,27.06,27.06,40.3052902323,0.965064924235,28.2373344586,25.0515607362,0.358391426842,26.2575625882,56.0218802266
90,7600.0,2280.0,4560.0,760.0,8,24.6,49.2,8.2,57.9288143301,1.28140327249,42.9344467465,32.7946786876,0.469165646461,62.811585389,73.9330215712
100,7600.0,760.0,2280.0,4560.0,8,30.36,30.36,30.36,100.885423177,2.37863781694,74.6316434599,33.6797987204,0.481828307874,91.7987065952,79.5632303802
100,7600.0,760.0,2280.0,4560.0,8,9.2,27.6,55.2,83.7849939241,2.20045208055,55.4949972194,32.0385113721,0.458347802176,56.4096016248,84.416608414
100,7600.0,4560.0,2280.0,760.0,8,30.36,30.36,30.36,63.8967044597,1.42264274426,45.7469706257,34.1496922851,0.488550676468,44.0600675047,75.7953043286
100,7600.0,4560.0,2280.0,760.0,8,55.2,27.6,9.2,54.9450690718,1.42354968051,35.7225171492,31.5725581589,0.451681804848,40.8117636782,71.598702159
100,7600.0,3800.0,3040.0,760.0,8,30.36,30.36,30.36,71.9377682346,1.5996873618,51.4912423549,37.91087619,0.542358743776,42.966543332,90.5132162191
100,7600.0,3800.0,3040.0,760.0,8,46.0,36.8,9.2,54.9598613251,1.37789637006,37.8599153209,32.0942516226,0.459145230652,41.954567208,74.1582644309
100,7600.0,2660.0,2660.0,2280.0,8,30.36,30.36,30.36,74.8704444715,1.86208711678,52.4327070024,33.9276424863,0.485373998374,48.69389411,85.3193099706
100,7600.0,2660.0,2660.0,2280.0,8,32.2,32.2,27.6,80.797931094,1.94778124399,57.784162605,32.7300669148,0.468241300641,60.671326654,82.4362227384
100,7600.0,6080.0,760.0,760.0,8,30.36,30.36,30.36,64.2964633903,1.40339349276,46.1805483967,27.9523478019,0.399890526494,53.1586608834,65.0307847396
100,7600.0,6080.0,760.0,760.0,8,73.6,9.2,9.2,48.1898206897,1.29631046061,28.3303160262,27.238584953,0.389679326938,38.820271298,60.2924912921
100,7600.0,1520.0,3040.0,3040.0,8,30.36,30.36,30.36,89.1411640384,2.00449996757,64.8218632061,36.2875493416,0.519135183714,64.1321348074,92.440726654
100,7600.0,1520.0,3040.0,3040.0,8,18.4,36.8,36.8,81.5897182287,1.9808366562,58.5364313767,33.6083993888,0.480806858209,66.6873255309,82.7607091929
100,7600.0,3040.0,3040.0,1520.0,8,30.36,30.36,30.36,71.7645828151,1.65045180455,50.936948254,35.2963453396,0.50495486895,38.4531392408,89.6356395916
100,7600.0,3040.0,3040.0,1520.0,8,36.8,36.8,18.4,66.8327108357,1.6027841104,47.1710563903,33.4539064754,0.478596659161,49.5078113092,80.2227919447
100,7600.0,2280.0,4560.0,760.0,8,30.36,30.36,30.36,36.1135015074,0.798680117624,26.1599034912,23.1930200752,0.331802862306,23.915933997,50.2178977116
100,7600.0,2280.0,4560.0,760.0,8,27.6,55.2,9.2,55.9233951872,1.20092854749,41.9011911549,31.3311832406,0.448228658664,66.2651594094,72.560362794
110,7600.0,760.0,2280.0,4560.0,8,33.66,33.66,33.66,109.375148698,2.24023175246,83.4060584209,32.2579918991,0.461487723878,106.495691695,80.6159688619
110,7600.0,760.0,2280.0,4560.0,8,10.2,30.6,61.2,81.4119776084,2.05329303346,54.4087034337,32.3655832801,0.46302694249,57.0777026012,85.6291949705
110,7600.0,4560.0,2280.0,760.0,8,33.66,33.66,33.66,64.5939687292,1.38080858723,46.494970251,32.2641791593,0.461576239761,46.7879860081,74.6336880287
110,7600.0,4560.0,2280.0,760.0,8,61.2,30.6,10.2,51.6303104193,1.25632094945,34.6652463409,30.6215007372,0.43807583315,39.4855538771,68.6295768147
110,7600.0,3800.0,3040.0,760.0,8,33.66,33.66,33.66,70.8068402072,1.44428004837,51.4322575966,35.6473030023,0.509975722493,37.9871372354,90.2497101667
110,7600.0,3800.0,3040.0,760.0,8,51.0,40.8,10.2,57.8271499022,1.25986483837,41.0750079005,32.2042277906,0.460718566389,45.8719749767,75.3725969714
110,7600.0,2660.0,2660.0,2280.0,8,33.66,33.66,33.66,83.5018358031,1.86606098562,61.2023014239,34.3439245771,0.491329393092,65.7496607344,85.4092650725
110,7600.0,2660.0,2660.0,2280.0,8,35.7,35.7,30.6,72.2922110779,1.65205394969,51.9911808258,32.9336327932,0.471153544967,53.9499605409,81.6463319666
110,7600.0,6080.0,760.0,760.0,8,33.66,33.66,33.66,66.2055646568,1.40195810412,48.0052179826,28.728634984,0.410996208642,54.8215598853,65.7804489602
110,7600.0,6080.0,760.0,760.0,8,81.6,10.2,10.2,45.6545241981,1.26942633465,26.1506997313,26.7814503153,0.383139489489,37.3566190643,59.0858042256
110,7600.0,1520.0,3040.0,3040.0,8,33.66,33.66,33.66,93.5514431024,2.03817541387,68.6137298306,34.8677810537,0.498823763286,65.4433683959,93.9363695096
110,7600.0,1520.0,3040.0,3040.0,8,20.4,40.8,40.8,89.1316740132,2.00118348041,65.0540697351,31.4509848354,0.449942558446,78.9784574043,84.112335858
110,7600.0,3040.0,3040.0,1520.0,8,33.66,33.66,33.66,70.627177541,1.5931961387,50.0468258569,35.050960023,0.501444349399,38.5451731282,90.4816348598
110,7600.0,3040.0,3040.0,1520.0,8,40.8,40.8,20.4,66.9019774655,1.49799023317,49.0329300727,33.0490520433,0.472804750262,52.6114849208,80.1983538917
110,7600.0,2280.0,4560.0,760.0,8,33.66,33.66,33.66,54.1717798168,1.15296783442,39.9932666626,28.791385211,0.411893922905,38.6868795513,69.8766706924
110,7600.0,2280.0,4560.0,760.0,8,30.6,61.2,10.2,55.426219512,1.12325391982,41.7827849787,31.3089260942,0.447910244552,61.5641787999,73.2190564836
120,7600.0,760.0,2280.0,4560.0,8,36.96,36.96,36.96,91.7793954935,1.78032057565,70.4675803986,32.8053951723,0.469318958116,92.0319663249,80.8724040045
120,7600.0,760.0,2280.0,4560.0,8,11.2,33.6,67.2,88.3584043238,2.09933972777,60.6894521748,31.4999560782,0.450643148472,67.0827518205,86.5460175041
120,7600.0,4560.0,2280.0,760.0,8,36.96,36.96,36.96,68.5333642797,1.46469185106,50.0443117403,32.2486289912,0.461353776698,52.5017853235,76.4841392179
120,7600.0,4560.0,2280.0,760.0,8,67.2,33.6,11.2,58.1837633835,1.41851225968,39.1618881069,31.2064216674,0.446443800678,40.8934064743,75.4603551528
